State,District,Population,active_infs,new_infs,gamma,gamma_d,beta,delta,repr_ratio
Maharashtra,Jalna,2340859,2070.0,100.42857142857143,0.01682248266191977,0.0005867623584828388,0.044794445642019384,0.08,2.6627725848942845
Maharashtra,Kolhapur,4223670,8047.142857142857,382.2857142857143,0.05613039180452152,0.0021942294418649706,0.04474412017756307,0.52,0.7971460511693552
Maharashtra,Latur,2847849,3885.1428571428573,210.28571428571428,0.06851710550917843,0.0013677976331179142,0.06716806554145249,0.24,0.9803109025446906
Maharashtra,Mumbai,12875246,27549.14285714286,1834.4285714285713,0.0793488490939042,0.0015145776458661256,0.0726524065618701,0.52,0.915607565723993
Maharashtra,Nagpur,5252740,15484.42857142857,1083.5714285714287,0.11221881723505979,0.0012816639175936052,0.07853070063011118,0.32,0.6997997534193967
Maharashtra,Nandurbar,2024476,901.5714285714286,55.285714285714285,0.09085517895957272,0.0015514315135871958,0.08057308712624837,0.08,0.8868298763915318
Maharashtra,Nashik,7319991,15465.42857142857,1003.5714285714286,0.06672057277762326,0.0006982318441389071,0.08376218214206747,0.08,1.2554176119147409
Maharashtra,Osmanabad,1828220,2988.4285714285716,194.42857142857142,0.034151832040881076,0.002501106882798663,0.04656896521374016,0.52,1.3635861513372194
Maharashtra,Parbhani,2166499,1267.142857142857,64.57142857142857,0.05997570696858922,0.0024222780494525596,0.05252843104919396,0.52,0.8758284596245679
Maharashtra,Pune,11971755,57808.57142857143,2663.285714285714,0.061170869205253935,0.0008996000802300263,0.05414341464648524,0.16,0.8851176278828304
Maharashtra,Sangli,3055687,9331.857142857143,525.0,0.10105843998645238,0.00219887456005187,0.05578462056658677,0.36,0.5520035790584646
Maharashtra,Satara,3190531,8430.285714285714,566.1428571428571,0.060462222390601214,0.002213999433300607,0.056503177104754325,0.16,0.9345203479245195
Maharashtra,Solapur,4787647,7455.142857142857,397.2857142857143,0.06531185679395718,0.0007850347801737031,0.06623312024708279,0.52,1.0141056080526385
Maharashtra,Thane,14587316,29509.571428571428,1407.142857142857,0.055992096298687295,0.001158464909563375,0.05656445115158788,0.32,1.010222065090176
Maharashtra,Yavatmal,3089185,2351.5714285714284,158.85714285714286,0.10095864253492495,0.003793953164783919,0.06926222306606754,0.48,0.6860455066252246
Odisha,Balasore,2623782,1310.0,125.42857142857143,0.10402003418704539,0.0005099571501023904,0.1236875534987978,0.52,1.1890743400101842
Odisha,Bargarh,1614204,1061.2857142857142,111.0,0.114614986368228,0.00024922594281174084,0.09073257765956917,0.4,0.7916292671193024
Odisha,Bhadrak,1680681,769.4285714285714,72.14285714285714,0.10150074394456887,0.0004527934112799867,0.1036366347010803,0.12,1.0210431044493415
Odisha,Cuttack,2909014,3979.0,361.7142857142857,0.10992531602612543,0.00037881965245781257,0.09092424336947258,0.52,0.8271456171921584
Odisha,Ganjam,3897162,247.14285714285714,46.0,0.2678789772741939,0.0011416779811029788,0.2772471332668836,0.08,1.0349715983240473
Odisha,Khordha,2651917,5947.285714285715,682.5714285714286,0.09339493573237713,0.0005259989155907077,0.08938977212196876,0.08,0.95711583739524
Odisha,Koraput,1587283,631.8571428571429,62.285714285714285,0.12742767908696784,0.0001791407207685323,0.11213772431797464,0.52,0.8800107254675965
Odisha,Mayurbhanj,2820002,1276.142857142857,140.14285714285714,0.10377659959656008,0.0006679038322534504,0.09956745136735783,0.2,0.9594402953501497
Odisha,Puri,1896950,1605.4285714285713,162.42857142857142,0.11789506560981369,0.0007046702173466307,0.10385909559747643,0.52,0.8809452292194246
Odisha,Sambalpur,1151861,1049.5714285714287,107.28571428571429,0.10812611899496219,0.0005489818670129813,0.10411470221214246,0.52,0.9629005755491268
Odisha,Sundargarh,2362022,1003.0,85.85714285714286,0.10654291489241621,0.0008741315866107826,0.12047124904479721,0.48,1.130729801849756
Puducherry,Puducherry,1196990,4131.857142857143,297.42857142857144,0.08460249508894048,0.0006726774499032961,0.08498152784837809,0.16,1.0044801605323714
Punjab,Bathinda,1603497,1719.2857142857142,76.0,0.059803996183075185,0.0014148242252839428,0.09114341146840002,0.24,1.524035470629537
Punjab,Gurdaspur,2489092,875.4285714285714,66.57142857142857,0.13045178181842734,0.003851752866532477,0.08964774126601142,0.32,0.687209787527394
Punjab,Jalandhar,2424458,1809.857142857143,131.0,0.1091574109466279,0.0036085752164253626,0.08195730878172709,0.12,0.750817631812464
Punjab,Patiala,2227327,1409.4285714285713,94.57142857142857,0.11063477343192306,0.002411663130735211,0.06092527888356691,0.08,0.5506883323718839
Rajasthan,Ajmer,3011068,235.0,83.42857142857143,0.33959451023482273,0.003508304985471846,0.2925032987882626,0.52,0.8613310579903146
Rajasthan,Alwar,4420767,326.7142857142857,91.57142857142857,0.33501444119156204,0.0003116806211127809,0.30444196592180955,0.52,0.9087428137097199
Rajasthan,Bikaner,2874723,288.57142857142856,87.71428571428571,0.27536918891192314,0.0033005240424175348,0.2647837988331227,0.52,0.9615592793056228
Rajasthan,Jodhpur,4596008,3926.8571428571427,278.57142857142856,0.03849943107908012,0.00021303688265721015,0.07077692484877651,0.44,1.838388850562402
Rajasthan,Kota,2374146,1900.5714285714287,58.142857142857146,0.05815466806003617,0.0003100637062070748,0.016915445155060858,0.12,0.29086994594480603
Rajasthan,Pali,2255261,371.57142857142856,75.14285714285714,0.19262349717393204,0.0013914938388595712,0.2314906107683295,0.08,1.2017776344248483
Tamil_Nadu,Chennai,4937551,10837.714285714286,1099.0,0.09805561042348059,0.0014450269843407737,0.11975820711416107,0.4,1.2213294741315848
Tamil_Nadu,Coimbatore,4030754,4995.428571428572,525.7142857142857,0.1084349412066252,0.0010799549848346038,0.12528682121410786,0.2,1.155410053438135
Tamil_Nadu,Cuddalore,2932641,1515.5714285714287,160.57142857142858,0.12688698606354168,0.0014401793787483217,0.10230888241960386,0.12,0.8062992556886035
Tamil_Nadu,Dindigul,2397684,488.42857142857144,38.142857142857146,0.12742868812142302,0.001109111185775261,0.09327794542640057,0.52,0.7320011435534735
Tamil_Nadu,Erode,2486748,1111.7142857142858,106.71428571428571,0.11422201455604483,0.001399552340535227,0.12051767203423489,0.12,1.0551177240452276
Tamil_Nadu,Kancheepuram,5375809,1006.1428571428571,109.28571428571429,0.13277126653852503,0.001774694245578669,0.13262019386048227,0.52,0.9988621583420768
Tamil_Nadu,Kanyakumari,2064474,922.1428571428571,81.28571428571429,0.09275172314830013,0.0007626123468442656,0.12663692273748836,0.08,1.3653322918325668
Tamil_Nadu,Madurai,3522087,723.2857142857143,64.85714285714286,0.10231353599668468,0.0011907287769792189,0.08781875049063041,0.52,0.8583297374599198
Tamil_Nadu,Nagapattinam,1740625,548.1428571428571,41.42857142857143,0.1520302362186118,0.0009432884983414043,0.09164701947026911,0.48,0.6028210029121136
Tamil_Nadu,Namakkal,1967388,1014.0,124.28571428571429,0.10940243389293111,0.0013392685428231315,0.12846031241820496,0.48,1.174199767291514
Tamil_Nadu,Pudukkottai,1775923,727.7142857142857,77.71428571428571,0.1269926444611208,0.002520123933111034,0.1092056265202107,0.08,0.8599366284843714
Tamil_Nadu,Ramanathapuram,1522413,158.85714285714286,16.428571428571427,0.11550465645372235,0.0016944068869096554,0.08094140540036139,0.2,0.7007631370497264
Tamil_Nadu,Salem,3962368,2744.1428571428573,278.14285714285717,0.0903270973363045,0.0021463847750957973,0.09829157836560135,0.28,1.0881737735869406
Tamil_Nadu,Thanjavur,2590519,1323.0,166.85714285714286,0.07102704376187434,0.0025245402769723,0.08573834231175415,0.08,1.207122495470894
Tamil_Nadu,Theni,1400617,508.57142857142856,60.142857142857146,0.14256999155149344,0.0021226223462179655,0.14409975413212264,0.4,1.0107299058096435
Tamil_Nadu,Thiruvallur,1356153,1611.0,188.85714285714286,0.13673027726025386,0.0015976614635456136,0.12853506896459296,0.08,0.940062958549685
Tamil_Nadu,Thoothukkudi,1905099,607.0,48.57142857142857,0.10563647115858611,0.0004653026890568192,0.06944847222136713,0.52,0.6574289301760945
Tamil_Nadu,Tiruchirappalli,3028346,783.8571428571429,77.28571428571429,0.12023100182281533,0.0010699425198811318,0.11438172935738541,0.52,0.9513497153250873
Tamil_Nadu,Tirunelveli,3457579,890.8571428571429,76.14285714285714,0.11318459755370502,0.0005467223041052036,0.10262885289702418,0.28,0.9067386827817077
Tamil_Nadu,Tiruppur,3119896,1639.5714285714287,165.14285714285714,0.1174329555687914,0.002830101962391327,0.11125767957221634,0.4,0.9474144547698314
Tamil_Nadu,Tiruvannamalai,2746014,985.0,115.71428571428571,0.13320548230083437,0.0023106778856956385,0.1399758564762635,0.52,1.0508265430107355
Tamil_Nadu,Vellore,4401028,874.1428571428571,111.0,0.14459675554533405,0.002497236569863712,0.1384288471899229,0.12,0.9573440750302493
Tamil_Nadu,Viluppuram,3978908,976.8571428571429,117.85714285714286,0.13797265058139274,0.0008792011364107666,0.15102987559984804,0.08,1.0946363280217812
Tamil_Nadu,Virudhunagar,2131921,284.57142857142856,33.857142857142854,0.15078777621969364,0.001940018433731049,0.12349637243120001,0.24,0.8190078501540417
Uttar_Pradesh,Aligarh,4419128,1201.7142857142858,72.0,0.09663553921467728,0.00024274134392686882,0.05757521673136973,0.24,0.5957975419733058
Uttar_Pradesh,Ayodhya,2874258,864.4285714285714,62.285714285714285,0.08874391619297559,0.00104485388848737,0.08112133676079479,0.44,0.9141058930101155
Uttar_Pradesh,Ballia,3741668,651.4285714285714,35.285714285714285,0.09786037066298382,0.0016653405434353776,0.08192444803134703,0.16,0.8371565269610752
Uttar_Pradesh,Barabanki,3898578,643.7142857142857,42.42857142857143,0.09359325017937827,0.0009178940577781225,0.04461844836849204,0.52,0.47672720290167875
Uttar_Pradesh,Bareilly,5356663,1654.2857142857142,84.42857142857143,0.07051351662564571,0.00026169581804092113,0.05986773778273236,0.44,0.84902499049322
Uttar_Pradesh,Deoria,3495943,358.14285714285717,24.142857142857142,0.11945750333880767,0.0015701557305202974,0.08579639194657752,0.24,0.7182168515881346
Uttar_Pradesh,Gautam_Buddha_Nagar,2361277,1579.2857142857142,148.14285714285714,0.10303918811886126,0.00013519742579830516,0.08034849866433953,0.16,0.7797858283942728
Uttar_Pradesh,Ghaziabad,6388981,1896.2857142857142,170.0,0.07992816644388377,0.00013908788736589035,0.09471619455192246,0.08,1.1850164812478354
Uttar_Pradesh,Gorakhpur,5146869,1655.5714285714287,135.28571428571428,0.11623555917350849,0.0024604202781369415,0.10843893322988055,0.2,0.932923917611222
Uttar_Pradesh,Jhansi,2258291,857.7142857142857,56.57142857142857,0.09692281200460198,0.002794590432871565,0.06937803928704961,0.52,0.7158071237528217
Uttar_Pradesh,Kanpur_Nagar,4988132,3624.4285714285716,168.42857142857142,0.08169835107891234,0.0016924207117035989,0.044237852324830636,0.24,0.5414779091698111
Uttar_Pradesh,Lucknow,5643953,7663.0,450.57142857142856,0.09550816302446874,0.0012611218960768176,0.04611003173065987,0.32,0.4827862904121263
Uttar_Pradesh,Meerut,3929657,2499.714285714286,164.42857142857142,0.06835780598769937,0.0009735493816882668,0.05686861398616041,0.24,0.8319256764383809
Uttar_Pradesh,Moradabad,5842497,1370.4285714285713,57.285714285714285,0.05919520864760836,0.0011777160018700227,0.05340701245703348,0.16,0.9022185017535411
Uttar_Pradesh,Prayagraj,7047792,3066.714285714286,212.42857142857142,0.08961463156506877,0.0011561185092731144,0.07125286918877581,0.08,0.7951030757409233
Uttar_Pradesh,Saharanpur,4074084,1176.142857142857,44.42857142857143,0.06786680431570645,0.0013089173748844379,0.04157513949972696,0.28,0.6125990448338409
Uttar_Pradesh,Shahjahanpur,3595030,623.4285714285714,38.0,0.11795599052121784,0.0013448088056762357,0.0855552335111951,0.24,0.7253148664442395
Uttar_Pradesh,Varanasi,4239659,2092.4285714285716,166.57142857142858,0.08997144858574903,0.0014876639841690544,0.09260522862525862,0.12,1.0292735093289003
Uttarakhand,Dehradun,2183252,3288.714285714286,194.57142857142858,0.09015271893633178,0.0014486995508198829,0.05911166465847341,0.2,0.6556836594159697
Uttarakhand,Haridwar,2404304,1719.2857142857142,102.71428571428571,0.07463829303893532,0.0008553863852982203,0.02800007103808072,0.08,0.37514350741481167
Uttarakhand,Nainital,1167991,1141.857142857143,66.14285714285714,0.08931886252603516,0.0014059941440503535,0.11618262472290043,0.16,1.3007624754405585
Uttarakhand,Udham_Singh_Nagar,2137842,1096.5714285714287,66.14285714285714,0.06592423973191382,0.0007867478265524036,0.032527516547179745,0.4,0.49340753385181974
West_Bengal,Bankura,4003781,677.2857142857143,69.14285714285714,0.123555466117801,0.0022699294097521896,0.08672655025466693,0.28,0.7019240263476452
West_Bengal,Cooch_Behar,3164699,694.4285714285714,74.14285714285714,0.12502605561575764,0.0014594483015259885,0.13600977386043175,0.16,1.087851433771776
West_Bengal,Dakshin_Dinajpur,1849043,414.0,45.142857142857146,0.13262499830005206,0.0008872530509764526,0.13063718463093044,0.4,0.9850117723310022
West_Bengal,Darjeeling,2090575,685.0,70.28571428571429,0.13514455017992397,0.0015930655993623738,0.11194510996597681,0.28,0.8283361024690917
West_Bengal,Hooghly,5987089,1249.7142857142858,129.28571428571428,0.1263584476704962,0.002290020172574205,0.11839110043658439,0.12,0.9369464615876876
West_Bengal,Howrah,5435576,1400.857142857143,157.28571428571428,0.12061102105474644,0.004643271304304377,0.11683447078540508,0.08,0.9686881825863397
West_Bengal,Jalpaiguri,4353029,543.4285714285714,54.0,0.1158797293307485,0.0012311513533091584,0.07984423746734236,0.48,0.6890267860347498
West_Bengal,Kolkata,4429215,5064.714285714285,565.1428571428571,0.11448695869888084,0.003019046752864949,0.13629816518365634,0.44,1.1905125852992784
West_Bengal,Murshidabad,8438930,653.7142857142857,67.85714285714286,0.11758249309769944,0.0005688124612691492,0.11471363864279804,0.36,0.9756013469410139
West_Bengal,Nadia,5732669,870.1428571428571,98.71428571428571,0.13747939159943992,0.0016668687280734363,0.14657235136261207,0.44,1.0661405295541706
West_Bengal,Purba_Medinipur,5795189,1062.142857142857,106.14285714285714,0.12031107285468312,0.0022801436385647745,0.11481579693423462,0.24,0.9543244375595759
West_Bengal,South_24_Parganas,9485640,1819.142857142857,200.42857142857142,0.10721152297978585,0.002425368690322033,0.12806349220188296,0.08,1.1944937320406186
