,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,2,2
3,0,0,4,4
4,0,0,4,4
5,0,0,4,4
6,0,0,9,9
7,0,0,20,20
8,0,0,20,20
9,0,0,20,20
10,0,0,30,30
11,0,0,30,30
12,0,0,32,32
13,0,0,41,41
14,0,0,49,49
15,0,0,51,51
16,0,0,58,58
17,0,0,75,75
18,0,0,82,82
19,2,0,91,93
20,4,1,109,114
21,6,1,115,122
22,8,2,112,122
23,10,2,113,125
24,12,3,110,125
25,14,4,110,128
26,16,4,128,148
27,18,5,134,157
28,20,5,151,176
29,22,6,166,194
30,24,6,175,205
31,26,7,175,208
32,29,8,177,214
33,29,8,200,237
34,39,8,207,254
35,59,8,216,283
36,87,8,192,287
37,97,8,201,306
38,97,8,203,308
39,115,8,196,319
40,115,8,215,338
41,128,8,215,351
42,129,8,226,363
43,150,8,215,373
44,164,8,202,374
45,168,8,200,376
46,176,8,198,382
47,198,8,181,387
48,198,8,181,387
49,225,8,166,399
50,246,8,150,404
51,257,8,139,404
52,257,8,148,413
53,275,8,134,417
54,315,8,94,417
55,315,8,94,417
56,328,8,90,426
57,328,8,90,426
58,328,8,90,426
59,328,8,90,426
60,328,8,90,426
61,328,8,90,426
62,328,8,90,426
63,353,8,91,452
64,371,8,86,465
65,377,8,80,465
66,378,8,92,478
67,383,8,98,489
68,390,8,98,496
69,390,8,121,519
70,390,8,129,527
71,390,9,136,535
72,390,9,141,540
73,390,9,157,556
74,390,9,159,558
75,393,9,164,566
76,393,9,164,566
77,401,9,170,580
78,415,9,160,584
79,428,9,162,599
80,428,9,175,612
81,435,9,179,623
82,435,9,198,642
83,448,9,214,671
84,452,10,232,694
85,467,10,231,708
86,480,10,235,725
87,493,11,238,742
88,501,11,256,768
89,501,11,290,802
90,501,12,339,852
91,501,14,376,891
92,511,16,431,958
93,538,17,477,1032
94,538,17,548,1103
95,552,17,624,1193
96,574,17,700,1291
97,594,18,737,1349
98,594,18,814,1426
99,670,19,841,1530
100,713,19,878,1610
101,713,19,938,1670
102,745,19,1063,1827
103,775,20,1229,2024
104,794,20,1448,2262
105,1135,21,1279,2435
106,1284,24,1355,2663
107,1334,26,1439,2799
108,1398,29,1440,2867
109,1455,29,1535,3019
110,1495,32,1683,3210
111,1640,32,1684,3356
112,1829,32,1963,3824
113,1902,35,2026,3963
114,2105,39,2186,4330
115,2385,47,2112,4544
116,2570,49,2279,4898
117,2670,58,2766,5494
118,2875,63,3133,6071
119,2875,78,3960,6913
120,4151,85,3861,8097
121,4269,88,4443,8800
122,4752,97,4607,9456
123,4934,98,4971,10003
124,5609,98,5040,10747
125,6149,109,5434,11692
126,6723,112,5981,12816
127,7754,121,5887,13762
128,7978,134,6556,14668
129,8366,141,7162,15669
130,9039,149,7120,16308
131,9975,151,6755,16881
132,10545,163,7113,17821
133,11374,179,6998,18551
134,12007,188,7224,19419
135,12477,197,7562,20236
136,13038,211,7588,20837
137,13711,223,7784,21718
138,14592,233,7514,22339
139,15340,242,7474,23056
140,15759,255,7804,23818
141,16310,265,7838,24413
142,16882,275,7783,24940
143,17554,284,7711,25549
144,18109,290,7740,26139
145,18938,297,7680,26915
146,19584,306,7920,27810
147,20265,313,7787,28365
148,21012,319,7477,28808
149,21581,322,7263,29166
150,22320,328,7237,29885
151,23251,331,6810,30392
152,24059,340,6460,30859
153,24782,346,6648,31776
154,25210,350,6748,32308
155,25620,355,7259,33234
156,26199,359,7477,34035
157,26740,365,7565,34670
158,27341,369,7553,35263
159,27799,376,7586,35761
160,28434,383,7561,36378
161,29047,387,7844,37278
162,29900,396,7787,38083
163,30582,404,7805,38791
164,31464,411,7557,39432
165,32119,419,7597,40135
166,32730,428,7742,40900
167,33468,438,7696,41602
168,33994,444,7871,42309
169,34898,446,7803,43147
170,35752,453,7862,44067
171,36515,459,7572,44546
172,37125,463,7750,45338
173,38300,465,7239,46004
174,38997,469,7179,46645
175,39698,475,7157,47330
176,40235,481,7164,47880
177,40934,487,6972,48393
178,41566,492,6806,48864
179,42262,494,6690,49446
180,43062,498,6418,49978
181,43630,501,6453,50584
182,44273,503,6456,51232
183,44805,509,6469,51783
184,45355,511,6450,52316
185,46089,514,6106,52709
186,46466,519,6259,53244
187,46914,523,6345,53782
188,47964,527,5701,54192
189,48422,531,5737,54690
190,48422,531,5737,54690
