,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,1,1
4,0,0,1,1
5,0,0,1,1
6,0,0,1,1
7,0,0,4,4
8,0,0,53,53
9,0,0,73,73
10,0,0,74,74
11,0,0,74,74
12,0,0,74,74
13,0,0,76,76
14,0,0,81,81
15,0,0,83,83
16,0,0,83,83
17,0,0,90,90
18,0,0,109,109
19,2,0,110,112
20,5,1,120,126
21,8,2,122,132
22,11,3,144,158
23,14,4,156,174
24,16,4,164,184
25,19,5,179,203
26,22,6,206,234
27,25,7,229,261
28,28,8,239,275
29,31,9,239,279
30,31,9,252,292
31,43,9,280,332
32,43,9,291,343
33,43,9,334,386
34,66,10,335,411
35,66,10,360,436
36,77,10,379,466
37,86,10,395,491
38,114,10,392,516
39,153,11,369,533
40,168,12,360,540
41,191,14,342,547
42,218,15,320,553
43,239,16,311,566
44,267,16,292,575
45,284,16,284,584
46,297,17,277,591
47,316,18,257,591
48,343,18,238,599
49,390,19,199,608
50,405,19,187,611
51,433,19,163,615
52,433,20,162,615
53,447,21,170,638
54,447,21,170,638
55,447,21,170,638
56,447,21,170,638
57,447,21,170,638
58,447,21,170,638
59,447,21,170,638
60,529,21,123,673
61,532,22,134,688
62,547,23,125,695
63,551,23,130,704
64,559,23,141,723
65,565,25,134,724
66,566,25,137,728
67,577,26,137,740
68,580,27,138,745
69,587,27,131,745
70,591,27,144,762
71,598,28,146,772
72,603,28,145,776
73,603,28,145,776
74,613,28,192,833
75,620,28,201,849
76,627,28,217,872
77,634,28,263,925
78,656,29,291,976
79,664,30,342,1036
80,677,30,385,1092
81,690,31,430,1151
82,695,31,475,1201
83,700,31,501,1232
84,729,33,485,1247
85,732,34,528,1294
86,762,35,557,1354
87,777,38,592,1407
88,807,42,634,1483
89,827,44,684,1555
90,873,48,694,1615
91,931,52,701,1684
92,959,58,770,1787
93,965,63,845,1873
94,978,65,912,1955
95,1055,68,922,2045
96,1058,69,993,2120
97,1089,73,1074,2236
98,1147,76,1131,2354
99,1217,81,1153,2451
100,1267,81,1239,2587
101,1318,85,1268,2671
102,1573,88,1061,2722
103,1617,91,1087,2795
104,1743,93,1103,2939
105,1813,97,1258,3168
106,1884,101,1420,3405
107,1982,105,1567,3654
108,2105,108,1610,3823
109,2233,113,1880,4226
110,2285,114,2417,4816
111,2324,116,2691,5131
112,2427,116,3138,5681
113,2603,123,3319,6045
114,2754,126,3724,6604
115,3019,130,3970,7119
116,4632,135,3030,7797
117,5079,142,3480,8701
118,5331,150,4134,9615
119,5674,156,4527,10357
120,6035,162,5373,11570
121,6425,164,5645,12234
122,6864,174,6342,13380
123,7177,179,7115,14471
124,7610,187,7926,15723
125,8077,195,8575,16847
126,9294,201,8586,18081
127,10051,207,8819,19077
128,10719,210,8750,19679
129,11568,218,8909,20695
130,12146,221,9696,22063
131,13314,223,9811,23348
132,13938,228,10513,24679
133,16314,238,9480,26032
134,17814,245,9372,27431
135,18322,251,9741,28314
136,18940,254,10258,29452
137,19590,258,10385,30233
138,21196,264,9596,31056
139,22556,276,9180,32012
140,23731,283,8732,32746
141,25458,292,7830,33580
142,26407,297,7248,33952
143,27604,306,6872,34782
144,28034,308,7234,35576
145,29168,314,6899,36381
146,29943,317,7040,37300
147,30760,325,7065,38150
148,31711,335,6789,38835
149,32437,337,6545,39319
150,33270,337,6493,40100
151,33661,342,6842,40845
152,34350,355,6995,41700
153,35127,361,6969,42457
154,36031,367,6850,43248
155,36961,372,6726,44059
156,37865,378,6502,44745
157,38550,382,6626,45558
158,38975,383,6897,46255
159,39571,387,6913,46871
160,40392,389,6792,47573
161,41346,391,6269,48006
162,42194,395,5797,48386
163,43081,399,5222,48702
164,44045,401,4770,49216
165,44530,406,4764,49700
166,45338,406,4438,50182
167,46030,407,4242,50679
168,46543,412,4229,51184
169,47160,417,4048,51625
170,47598,422,3946,51966
171,47977,425,3878,52280
172,48293,429,3982,52704
173,48801,435,3862,53098
174,49280,437,3718,53435
175,49858,440,3456,53754
176,50402,444,3183,54029
177,50904,447,2868,54219
178,51393,451,2647,54491
179,51733,453,2534,54720
180,52045,456,2544,55045
181,52469,458,2323,55250
182,52863,459,2134,55456
183,53199,462,2024,55685
184,53517,462,1819,55798
185,53791,462,1689,55942
186,53980,464,1714,56158
187,53980,464,1714,56158
