,Recovered,Deceased,Infected,I_c
0,0,0,3,3
1,0,0,5,5
2,0,0,8,8
3,0,0,14,14
4,0,0,14,14
5,0,0,14,14
6,0,0,14,14
7,0,0,14,14
8,0,0,17,17
9,0,0,21,21
10,0,0,22,22
11,0,0,23,23
12,0,0,31,31
13,0,0,31,31
14,0,0,38,38
15,0,0,45,45
16,0,0,53,53
17,0,0,64,64
18,0,0,83,83
19,7,5,71,83
20,14,10,118,142
21,22,16,159,197
22,29,21,193,243
23,36,27,219,282
24,44,32,244,320
25,51,38,284,373
26,58,43,349,450
27,66,49,430,545
28,73,54,496,623
29,81,60,721,862
30,88,65,948,1101
31,95,71,1082,1248
32,103,76,1194,1373
33,110,82,1309,1501
34,117,87,1448,1652
35,125,93,1603,1821
36,132,98,1773,2003
37,140,104,1937,2181
38,212,109,2058,2379
39,241,128,2174,2543
40,263,137,2377,2777
41,316,149,2561,3026
42,399,165,2729,3293
43,462,185,2896,3543
44,533,208,3076,3817
45,620,234,3222,4076
46,704,273,3448,4425
47,778,298,3640,4716
48,886,321,3784,4991
49,1001,343,3916,5260
50,1107,363,4070,5540
51,1373,381,4064,5818
52,1482,400,4204,6086
53,1874,421,4058,6353
54,2112,446,4087,6645
55,2247,465,4198,6910
56,2382,479,4310,7171
57,2545,493,5106,8144
58,2660,524,5236,8420
59,2841,555,5287,8683
60,3023,576,5346,8945
61,3130,602,5484,9216
62,3330,619,5500,9449
63,3658,645,5421,9724
64,3864,669,5468,10001
65,4051,697,5532,10280
66,4187,722,5681,10590
67,4623,745,5473,10841
68,4950,764,5383,11097
69,5331,780,5233,11344
70,5799,798,5000,11597
71,6317,822,4742,11881
72,6918,842,4420,12180
73,7708,864,3922,12494
74,8727,888,3158,12773
75,8932,910,3221,13063
76,9228,938,3188,13354
77,9479,968,3231,13678
78,9689,994,3284,13967
79,9912,1015,3358,14285
80,10130,1039,3462,14631
81,10378,1066,3518,14962
82,10644,1092,3569,15305
83,10875,1117,3643,15635
84,11118,1139,3705,15962
85,11373,1165,3768,16306
86,11597,1187,3856,16640
87,11822,1210,3935,16967
88,12057,1231,4011,17299
89,12280,1253,4096,17629
90,12561,1275,4110,17946
91,12767,1296,4195,18258
92,13185,1312,4067,18564
93,13612,1332,3893,18837
94,14013,1348,3790,19151
95,14434,1363,3589,19386
96,14835,1378,3388,19601
97,15051,1390,3398,19839
98,15261,1398,3399,20058
99,15479,1410,3380,20269
100,15660,1423,3397,20480
101,15831,1432,3453,20716
102,15968,1441,3504,20913
103,16093,1449,3586,21128
104,16254,1456,3629,21339
105,16385,1466,3692,21543
106,16613,1475,3627,21715
107,16829,1484,3579,21892
108,17069,1491,3515,22075
109,17193,1496,3573,22262
110,17363,1501,3554,22418
111,17502,1506,3572,22580
112,17663,1511,3571,22745
113,17789,1515,3619,22923
114,17922,1519,3654,23095
115,18047,1522,3690,23259
116,18227,1525,3674,23426
117,18439,1527,3633,23599
118,18627,1532,3621,23780
119,18792,1537,3635,23964
120,18961,1541,3661,24163
121,19128,1547,3700,24375
122,19328,1551,3689,24568
123,19533,1557,3677,24767
124,19745,1560,3658,24963
125,19948,1565,3660,25173
126,20153,1568,3628,25349
127,20323,1572,3634,25529
128,20491,1575,3626,25692
129,20954,1579,3343,25876
130,21120,1583,3329,26032
131,21237,1588,3359,26184
132,21356,1593,3392,26341
133,21468,1597,3452,26517
134,21585,1601,3477,26663
135,21692,1603,3523,26818
136,21801,1609,3559,26969
137,21908,1612,3602,27122
138,22035,1617,3631,27283
139,22152,1622,3660,27434
140,22272,1625,3690,27587
141,22393,1630,3722,27745
142,22499,1633,3766,27898
143,22612,1637,3793,28042
144,22816,1640,3736,28192
145,23038,1644,3669,28351
146,23273,1648,3596,28517
147,23520,1652,3506,28678
148,23708,1655,3477,28840
149,23882,1659,3463,29004
150,24064,1662,3436,29162
151,24242,1666,3419,29327
152,24422,1670,3398,29490
153,24589,1674,3399,29662
154,24756,1677,3408,29841
155,24932,1680,3408,30020
156,25104,1685,3408,30197
157,25268,1688,3406,30362
158,25441,1692,3386,30519
159,25605,1697,3380,30682
160,25757,1700,3388,30845
161,25919,1705,3389,31013
162,26079,1708,3390,31177
163,26243,1712,3391,31346
164,26371,1715,3433,31519
165,26455,1719,3504,31678
166,26541,1722,3584,31847
167,26617,1725,3671,32013
168,26702,1729,3753,32184
169,26780,1731,3840,32351
170,26857,1734,3933,32524
171,26938,1737,4021,32696
172,27033,1740,4093,32866
173,27154,1744,4139,33037
174,27288,1748,4168,33204
175,27415,1751,4212,33378
176,27566,1754,4233,33553
177,27722,1758,4245,33725
178,27915,1761,4224,33900
179,28130,1765,4177,34072
180,28374,1768,4095,34237
181,28598,1772,4038,34408
182,28801,1775,4005,34581
183,28985,1778,3996,34759
184,29130,1782,4030,34942
185,29250,1785,4084,35119
186,29374,1788,4142,35304
187,29503,1791,4195,35489
188,29626,1794,4252,35672
189,29751,1797,4306,35854
190,29933,1800,4316,36049
191,30135,1803,4308,36246
192,30345,1806,4305,36456
193,30581,1809,4261,36651
194,30848,1812,4188,36848
195,30848,1812,4188,36848
