,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,3,3
3,0,0,3,3
4,0,0,4,4
5,0,0,5,5
6,0,0,7,7
7,0,0,8,8
8,0,0,8,8
9,0,0,8,8
10,0,0,9,9
11,0,0,9,9
12,0,0,10,10
13,0,0,12,12
14,0,0,12,12
15,0,0,12,12
16,0,0,13,13
17,0,0,16,16
18,0,0,19,19
19,0,0,22,22
20,1,1,21,23
21,2,2,20,24
22,3,3,21,27
23,4,3,21,28
24,4,4,20,28
25,5,5,23,33
26,6,6,30,42
27,7,6,38,51
28,8,7,73,88
29,8,8,124,140
30,9,9,135,153
31,10,9,223,242
32,11,10,248,269
33,12,11,324,347
34,12,12,391,415
35,13,12,431,456
36,14,13,435,462
37,15,14,467,496
38,16,15,495,526
39,20,19,517,556
40,20,19,531,570
41,40,22,539,601
42,54,25,535,614
43,67,26,551,644
44,99,28,534,661
45,156,30,500,686
46,206,31,469,706
47,282,33,408,723
48,314,33,407,754
49,365,37,397,799
50,389,38,397,824
51,435,38,381,854
52,468,39,388,895
53,533,39,342,914
54,556,40,348,944
55,562,43,362,967
56,574,44,365,983
57,634,47,334,1015
58,687,49,313,1049
59,708,51,335,1094
60,744,53,330,1127
61,758,55,343,1156
62,783,56,354,1193
63,823,57,347,1227
64,850,57,349,1256
65,878,60,347,1285
66,897,61,362,1320
67,931,62,358,1351
68,956,63,368,1387
69,986,65,370,1421
70,1007,65,393,1465
71,1042,67,401,1510
72,1072,67,426,1565
73,1102,69,449,1620
74,1128,71,460,1659
75,1160,72,485,1717
76,1191,74,529,1794
77,1244,74,557,1875
78,1283,76,583,1942
79,1318,78,638,2034
80,1354,80,664,2098
81,1411,82,653,2146
82,1459,84,665,2208
83,1512,86,683,2281
84,1584,90,693,2367
85,1638,93,713,2444
86,1726,96,681,2503
87,1825,100,654,2579
88,1883,104,656,2643
89,1966,106,642,2714
90,2030,106,643,2779
91,2083,112,666,2861
92,2138,116,700,2954
93,2190,120,747,3057
94,2321,123,789,3233
95,2384,128,853,3365
96,2471,134,935,3540
97,2536,139,1037,3712
98,2582,142,1152,3876
99,2731,145,1182,4058
100,2800,147,1295,4242
101,2956,150,1318,4424
102,3143,154,1333,4630
103,3300,158,1371,4829
104,3429,163,1438,5030
105,3634,167,1456,5257
106,3706,172,1583,5461
107,3815,176,1723,5714
108,3921,182,1865,5968
109,4007,188,2014,6209
110,4083,191,2184,6458
111,4264,196,2271,6731
112,4388,202,2448,7038
113,4506,206,2595,7307
114,4642,209,2726,7577
115,4780,214,2834,7828
116,4966,219,2930,8115
117,5213,224,2969,8406
118,5436,229,2977,8642
119,5627,234,3046,8907
120,5978,239,2924,9141
121,6315,249,2845,9409
122,6522,258,2914,9694
123,6788,269,2921,9978
124,6961,290,3025,10276
125,7121,309,3102,10532
126,7326,323,3139,10788
127,7553,335,3209,11097
128,7720,346,3307,11373
129,7867,358,3447,11672
130,8051,367,3512,11930
131,8299,379,3545,12223
132,8517,390,3607,12514
133,8737,400,3648,12785
134,8926,411,3732,13069
135,9113,423,3795,13331
136,9320,435,3813,13568
137,9515,446,3865,13826
138,9728,457,3886,14071
139,9946,463,3899,14308
140,10233,472,3841,14546
141,10601,482,3694,14777
142,11150,492,3361,15003
143,11739,501,2985,15225
144,11999,509,2953,15461
145,12182,519,2996,15697
146,12376,524,3069,15969
147,12574,529,3117,16220
148,12778,534,3140,16452
149,13145,543,2998,16686
150,13481,551,2882,16914
151,13779,554,2824,17157
152,14127,561,2721,17409
153,14451,568,2628,17647
154,14752,575,2557,17884
155,15092,580,2463,18135
156,15400,586,2387,18373
157,15574,591,2456,18621
158,15756,596,2498,18850
159,15902,603,2595,19100
160,16076,607,2670,19353
161,16288,612,2711,19611
162,16501,615,2765,19881
163,16726,617,2811,20154
164,16917,622,2872,20411
165,17054,625,2989,20668
166,17305,631,3021,20957
167,17637,637,2948,21222
168,17928,642,2924,21494
169,18267,645,2853,21765
170,18655,651,2736,22042
171,18958,656,2723,22337
172,19334,662,2627,22623
173,19565,668,2655,22888
174,19841,672,2641,23154
175,20175,676,2581,23432
176,20417,681,2609,23707
177,20694,686,2605,23985
178,20994,692,2580,24266
179,21259,695,2590,24544
180,21524,700,2597,24821
181,21817,705,2580,25102
182,22107,711,2564,25382
183,22359,715,2594,25668
184,22616,720,2613,25949
185,22902,725,2605,26232
186,23196,731,2595,26522
187,23477,736,2607,26820
188,23751,740,2623,27114
189,24027,745,2620,27392
190,24312,747,2633,27692
191,24607,750,2632,27989
192,24890,752,2616,28258
193,25180,757,2623,28560
194,25455,761,2655,28871
195,25752,765,2652,29169
196,25752,765,2652,29169
