,Recovered,Deceased,Infected,I_c
0,0,0,2,2
1,0,0,4,4
2,0,0,4,4
3,0,0,5,5
4,0,0,5,5
5,0,0,6,6
6,0,0,7,7
7,0,0,8,8
8,0,0,9,9
9,0,0,11,11
10,0,0,19,19
11,0,0,24,24
12,0,0,35,35
13,0,0,41,41
14,0,0,48,48
15,0,0,49,49
16,0,0,51,51
17,0,0,73,73
18,0,0,78,78
19,22,7,56,85
20,45,14,85,144
21,68,21,85,174
22,91,29,108,228
23,114,36,121,271
24,137,43,190,370
25,160,51,240,451
26,183,58,277,518
27,206,65,371,642
28,228,72,414,714
29,251,80,545,876
30,274,87,647,1008
31,297,94,755,1146
32,320,102,876,1298
33,343,109,1088,1540
34,366,116,1274,1756
35,389,123,1384,1896
36,412,131,1530,2073
37,434,138,1513,2085
38,457,145,1666,2268
39,480,153,2091,2724
40,503,160,2369,3032
41,526,167,2758,3451
42,549,174,2960,3683
43,572,182,3451,4205
44,595,189,3663,4447
45,618,196,4235,5049
46,641,204,4562,5407
47,711,219,4846,5776
48,798,244,5127,6169
49,936,270,5438,6644
50,1092,290,5679,7061
51,1134,296,6382,7812
52,1203,322,6834,8359
53,1230,343,7227,8800
54,1395,361,7554,9310
55,1605,387,7953,9945
56,1694,412,8608,10714
57,1793,437,9164,11394
58,1867,462,9813,12142
59,1867,489,10508,12864
60,2296,508,10935,13739
61,2366,528,11627,14521
62,2513,556,11878,14947
63,2739,596,12412,15747
64,2944,621,13173,16738
65,3125,655,13891,17671
66,3260,696,14599,18555
67,3498,734,15918,20150
68,3730,757,16848,21335
69,4352,800,17594,22746
70,4702,841,18575,24118
71,5769,882,18849,25500
72,6096,909,20246,27251
73,6381,949,21487,28817
74,7083,988,22471,30542
75,7584,1026,23362,31972
76,8013,1065,23896,32974
77,8408,1097,24513,34018
78,8650,1135,25700,35485
79,16008,1173,19751,36932
80,16364,1227,20851,38442
81,16791,1279,21616,39686
82,16985,1319,22795,41099
83,17213,1368,23635,42216
84,17472,1417,24603,43492
85,18096,1465,25370,44931
86,18778,1519,25783,46080
87,19977,1577,25800,47354
88,21190,1638,25946,48774
89,22032,1702,26351,50085
90,22943,1760,26397,51100
91,23694,1857,27116,52667
92,24209,1954,27922,54085
93,25152,2044,28255,55451
94,25947,2113,28771,56831
95,26986,2182,29058,58226
96,30125,2250,26918,59293
97,31041,3167,26020,60228
98,31338,3244,27005,61587
99,31856,3311,27708,62875
100,32264,3425,28450,64139
101,32867,3561,28901,65329
102,33491,3671,29326,66488
103,34121,3737,29728,67586
104,34576,3844,29990,68410
105,37008,3964,28556,69528
106,39149,4062,27667,70878
107,39744,4179,28252,72175
108,42329,4284,27639,74252
109,43154,4371,28014,75539
110,43545,4463,28757,76765
111,44170,4556,28932,77658
112,44791,4631,29723,79145
113,50691,4689,25319,80699
114,52392,4762,24920,82074
115,53463,4830,24944,83237
116,55884,4899,23741,84524
117,57152,4938,23634,85724
118,58137,5002,23370,86509
119,59238,5064,23554,87856
120,60195,5132,23797,89124
121,61934,5205,23322,90461
122,63431,5244,23070,91745
123,64872,5288,22828,92988
124,65622,5335,23189,94146
125,66633,5405,23062,95100
126,67830,5467,23177,96474
127,67830,5523,24597,97950
128,69340,5585,24239,99164
129,70492,5650,24208,100350
130,71685,5714,23989,101388
131,72648,5755,24020,102423
132,73555,5817,23996,103368
133,75118,5875,23685,104678
134,77102,5930,22891,105923
135,78259,5984,22737,106980
136,78876,6036,23148,108060
137,80238,6093,22830,109161
138,81944,6132,22106,110182
139,84411,6187,20284,110882
140,85327,6247,20417,111991
141,86447,6300,20452,113199
142,87074,6353,20857,114284
143,87906,6398,21027,115331
144,88299,6447,21690,116436
145,90089,6493,20824,117406
146,90960,6549,20606,118115
147,91673,6591,20976,119240
148,92659,6648,20843,120150
149,93898,6693,20421,121012
150,95354,6751,20211,122316
151,96586,6799,19997,123382
152,97993,6845,19469,124307
153,99147,6893,19184,125224
154,100069,6943,19344,126356
155,100954,6991,19611,127556
156,101860,7038,19637,128535
157,102749,7086,17881,127716
158,103468,7133,18125,128726
159,104301,7173,18005,129479
160,105193,7222,17995,130410
161,106057,7268,18217,131542
162,107033,7314,18475,132822
163,108268,7356,18604,134228
164,109368,7388,18606,135362
165,110059,7422,18872,136353
166,111082,7442,18572,137096
167,111962,7477,18244,137683
168,112743,7505,19289,139537
169,113577,7535,19776,140888
170,114818,7565,19725,142108
171,115500,7596,20293,143389
172,116352,7626,20648,144626
173,117268,7658,20879,145805
174,118859,7693,20395,146947
175,119702,7727,21140,148569
176,120561,7764,21770,150095
177,121671,7799,22554,152024
178,122566,7832,23314,153712
179,123478,7869,24275,155622
180,125017,7900,24493,157410
181,125906,7942,24908,158756
182,126743,7985,26016,160744
183,128112,8023,26980,163115
184,129244,8067,27995,165306
185,130016,8109,29531,167656
186,130918,8150,30673,169741
187,132347,8181,31482,172010
188,134066,8230,31300,173596
189,135563,8280,32131,175974
190,136736,8323,33326,178385
191,137664,8375,34629,180668
192,142769,8425,31009,182203
193,147807,8469,28163,184439
194,150535,8505,27236,186276
195,152204,8555,27145,187904
196,154088,8604,27572,190264
197,155638,8658,28131,192427
198,156808,8706,28789,194303
199,158749,8750,29086,196585
200,162939,8794,27113,198846
201,164882,8834,27185,200901
202,167202,8883,26529,202614
203,169268,8929,27071,205268
204,169268,8929,27071,205268
