,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,2,2
4,0,0,2,2
5,0,0,2,2
6,0,0,8,8
7,0,0,11,11
8,0,0,11,11
9,2,0,9,11
10,2,0,10,12
11,2,0,14,16
12,2,0,14,16
13,2,0,14,16
14,8,0,8,16
15,11,0,5,16
16,11,0,7,18
17,11,0,7,18
18,11,0,7,18
19,11,0,7,18
20,16,0,18,34
21,16,0,18,34
22,16,0,19,35
23,16,0,30,46
24,18,0,32,50
25,18,0,32,50
26,18,0,34,52
27,18,1,47,66
28,33,1,33,67
29,33,1,34,68
30,34,1,33,68
31,47,1,20,68
32,48,1,19,68
33,48,1,20,69
34,50,1,36,87
35,50,1,46,97
36,56,1,40,97
37,56,1,52,109
38,57,1,52,110
39,64,1,66,131
40,65,1,67,133
41,67,1,65,133
42,81,1,84,166
43,94,1,71,166
44,100,1,66,167
45,114,1,52,167
46,138,1,29,168
47,139,1,28,168
48,145,1,25,171
49,148,1,53,202
50,155,1,49,205
51,161,1,43,205
52,167,1,37,205
53,167,1,41,209
54,178,1,65,244
55,191,1,55,247
56,194,1,74,269
57,199,1,73,273
58,209,1,89,299
59,223,1,99,323
60,241,1,89,331
61,248,1,96,345
62,279,1,72,352
63,304,1,70,375
64,316,1,68,385
65,323,1,66,390
66,334,1,67,402
67,340,1,71,412
68,347,1,77,425
69,347,1,82,430
70,351,1,111,463
71,363,1,109,473
72,363,1,123,487
73,370,1,197,568
74,389,1,186,576
75,405,2,176,583
76,407,3,224,634
77,441,3,200,644
78,451,3,246,700
79,501,3,211,715
80,513,3,226,742
81,520,3,241,764
82,530,3,267,800
83,535,3,310,848
84,550,4,329,883
85,620,4,310,934
86,674,5,322,1001
87,699,5,306,1010
88,711,5,350,1066
89,743,5,454,1202
90,743,5,552,1300
91,796,5,561,1362
92,825,5,560,1390
93,903,5,580,1488
94,939,7,699,1645
95,1009,8,780,1797
96,1060,9,874,1943
97,1085,9,973,2067
98,1185,9,955,2149
99,1242,9,959,2210
100,1277,9,1109,2395
101,1462,9,1162,2633
102,1549,9,1195,2753
103,1605,9,1413,3027
104,1677,9,1737,3423
105,1845,9,1745,3599
106,1920,9,1751,3680
107,2012,9,1751,3772
108,2151,9,1781,3941
109,2395,9,1634,4038
110,2613,9,1555,4177
111,2729,9,1585,4323
112,2991,9,1418,4418
113,3388,9,1178,4575
114,3569,9,1180,4758
115,3653,9,1245,4907
116,3747,10,1250,5007
117,3916,12,1195,5123
118,4011,12,1199,5222
119,4143,12,1181,5336
120,4333,12,1119,5464
121,4430,12,1143,5585
122,4582,12,1099,5693
123,4756,12,1039,5807
124,4897,12,1004,5913
125,4997,12,1058,6067
126,5110,12,1082,6204
127,5207,12,1054,6273
128,5319,12,1053,6384
129,5319,12,1139,6470
