,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,1,1
3,0,0,3,3
4,0,0,3,3
5,0,0,3,3
6,0,0,3,3
7,0,0,3,3
8,0,0,3,3
9,0,0,3,3
10,0,0,3,3
11,0,0,3,3
12,0,0,3,3
13,0,0,3,3
14,0,0,3,3
15,0,0,3,3
16,0,0,3,3
17,0,0,3,3
18,0,0,3,3
19,0,0,3,3
20,0,0,8,8
21,0,0,8,8
22,1,0,10,11
23,1,0,10,11
24,1,0,15,16
25,1,0,15,16
26,2,0,14,16
27,2,0,17,19
28,2,0,17,19
29,2,0,17,19
30,2,0,17,19
31,9,0,10,19
32,9,0,10,19
33,12,0,7,19
34,12,0,9,21
35,12,0,9,21
36,12,0,9,21
37,12,0,9,21
38,12,0,12,24
39,12,0,13,25
40,12,0,19,31
41,15,0,16,31
42,15,0,16,31
43,19,0,12,31
44,19,0,27,46
45,21,0,25,46
46,21,0,25,46
47,21,0,53,74
48,21,0,53,74
49,23,0,72,95
50,25,0,70,95
51,30,0,65,95
52,30,0,68,98
53,31,0,67,98
54,31,0,67,98
55,40,0,66,106
56,46,0,60,106
57,74,0,32,106
58,74,0,32,106
59,95,0,11,106
60,95,0,18,113
61,95,0,18,113
62,95,0,25,120
63,95,0,25,120
64,98,0,25,123
65,106,0,26,132
66,106,0,30,136
67,106,0,34,140
68,123,0,17,140
69,123,0,28,151
70,130,0,21,151
71,135,0,17,152
72,135,0,17,152
73,135,0,17,152
74,135,0,22,157
75,135,0,23,158
76,146,0,31,177
77,146,0,31,177
78,155,0,22,177
79,155,0,25,180
80,166,0,14,180
81,175,0,10,185
82,175,0,21,196
83,178,0,22,200
84,178,0,22,200
85,179,0,21,200
86,184,0,16,200
87,184,0,41,225
88,194,0,31,225
89,198,0,28,226
90,212,0,16,228
91,220,0,12,232
92,221,0,11,232
93,224,0,8,232
94,224,0,9,233
95,227,0,18,245
96,227,0,34,261
97,239,0,34,273
98,239,0,35,274
99,239,0,37,276
100,253,2,23,278
101,257,3,20,280
102,258,3,21,282
103,261,3,29,293
104,267,3,25,295
105,279,3,14,296
106,279,3,15,297
107,282,3,19,304
108,284,4,26,314
109,289,4,24,317
110,296,4,22,322
111,297,4,79,380
112,299,4,89,392
113,320,4,69,393
114,328,4,91,423
115,346,5,132,483
116,350,5,156,511
117,373,5,143,521
118,396,5,145,546
119,448,5,95,548
120,461,6,85,552
121,474,6,125,605
122,484,6,116,606
123,517,6,103,626
124,533,6,112,651
125,561,6,109,676
126,565,6,145,716
127,575,6,157,738
128,590,7,207,804
129,603,8,243,854
130,611,8,237,856
131,642,8,264,914
132,673,8,303,984
133,701,8,358,1067
134,727,8,382,1117
135,771,8,403,1182
136,791,8,501,1300
137,817,8,577,1402
138,855,9,645,1509
139,893,9,711,1613
140,935,9,742,1686
141,957,10,766,1733
142,981,10,849,1840
143,1009,10,910,1929
144,1034,10,962,2006
145,1178,10,910,2098
146,1318,10,836,2164
147,1417,10,795,2222
148,1662,10,664,2336
149,1705,11,702,2418
150,1775,12,682,2469
151,1827,12,706,2545
152,1904,12,669,2585
153,2076,12,544,2632
154,2139,12,575,2726
155,2188,13,612,2813
156,2286,13,700,2999
157,2350,13,774,3137
158,2514,13,660,3187
159,2591,13,690,3294
160,2633,13,722,3368
161,2687,13,757,3457
162,2730,13,760,3503
163,2783,14,788,3585
164,2913,14,770,3697
165,2967,14,783,3764
166,3111,14,762,3887
167,3278,14,648,3940
168,3312,14,757,4083
169,3374,14,750,4138
170,3428,14,768,4210
171,3505,14,772,4291
172,3609,15,710,4334
173,3713,15,680,4408
174,3789,15,718,4522
175,3842,16,698,4556
176,3907,16,769,4692
177,3999,16,782,4797
178,4088,16,741,4845
179,4174,16,779,4969
180,4221,16,783,5020
181,4294,16,777,5087
182,4368,16,762,5146
183,4482,17,742,5241
184,4482,18,802,5302
