,Recovered,Deceased,Infected,I_c
0,0,0,10,10
1,0,0,10,10
2,0,0,15,15
3,0,0,17,17
4,0,0,19,19
5,0,0,33,33
6,0,0,40,40
7,0,0,49,49
8,0,0,57,57
9,0,0,84,84
10,0,0,86,86
11,0,0,92,92
12,0,0,97,97
13,0,0,99,99
14,0,0,106,106
15,0,0,108,108
16,0,0,114,114
17,0,0,122,122
18,0,0,144,144
19,40,2,107,149
20,80,4,74,158
21,98,5,62,165
22,98,7,84,189
23,98,7,87,192
24,109,7,81,197
25,125,7,72,204
26,126,7,74,207
27,151,7,51,209
28,156,7,49,212
29,158,10,53,221
30,159,10,52,221
31,159,11,53,223
32,159,11,62,232
33,183,11,39,233
34,183,11,56,250
35,183,11,65,259
36,201,11,52,264
37,201,11,57,269
38,210,11,49,270
39,212,11,95,318
40,223,11,85,319
41,230,12,82,324
42,237,13,76,326
43,237,14,80,331
44,248,14,75,337
45,248,14,77,339
46,272,14,73,359
47,272,16,85,373
48,286,16,77,379
49,302,16,68,386
50,313,16,67,396
51,313,16,85,414
52,323,16,84,423
53,323,16,101,440
54,353,16,83,452
55,355,16,95,466
56,355,16,106,477
57,362,17,111,490
58,362,17,115,494
59,384,17,100,501
60,384,17,102,503
61,400,18,88,506
62,400,18,94,512
63,444,18,62,524
64,444,18,69,531
65,452,18,65,535
66,460,18,60,538
67,460,18,63,541
68,465,18,61,544
69,468,18,59,545
70,487,18,43,548
71,487,18,43,548
72,502,18,29,549
73,502,19,31,552
74,509,19,24,552
75,518,19,18,555
76,518,19,18,555
77,518,20,24,562
78,518,21,26,565
79,526,22,28,576
80,526,22,37,585
81,528,22,64,614
82,528,22,80,630
83,528,22,90,640
84,531,23,102,656
85,532,23,113,668
86,540,23,113,676
87,565,23,94,682
88,565,23,126,714
89,573,23,132,728
90,588,24,124,736
91,588,24,133,745
92,612,24,117,753
93,618,26,123,767
94,618,26,125,769
95,664,26,86,776
96,701,27,49,777
97,710,27,68,805
98,710,27,76,813
99,710,27,120,857
100,710,27,153,890
101,739,27,139,905
102,739,29,164,932
103,741,29,216,986
104,784,29,215,1028
105,809,29,208,1046
106,836,30,233,1099
107,837,30,253,1120
108,840,30,291,1161
109,856,30,297,1183
110,869,33,361,1263
111,869,33,429,1331
112,891,33,472,1396
113,903,34,474,1411
114,930,34,492,1456
115,946,34,584,1564
116,946,34,706,1686
117,960,35,818,1813
118,960,35,960,1955
119,1105,35,945,2085
120,1130,35,1066,2231
121,1169,36,1131,2336
122,1192,36,1238,2466
123,1297,38,1140,2475
124,1302,41,1217,2560
125,1355,45,1275,2675
126,1355,47,1443,2845
127,1476,51,1545,3072
128,1476,53,1622,3151
129,1531,53,1767,3351
130,1649,53,1710,3412
131,1676,53,1799,3528
132,1724,53,1830,3607
133,1736,55,1851,3642
134,1761,55,1916,3732
135,1831,57,1987,3875
136,1909,58,1978,3945
137,2066,58,1858,3982
138,2594,59,1419,4072
139,2760,60,1390,4210
140,2873,63,1314,4250
141,2987,66,1374,4427
142,3070,66,1336,4472
143,3128,68,1405,4601
144,3272,69,1393,4734
145,3299,71,1564,4934
146,3348,72,1714,5134
147,3446,73,1847,5366
148,3480,75,1951,5506
149,3612,76,1968,5656
150,3690,77,2049,5816
151,3720,78,2183,5981
152,3888,79,2184,6151
153,4002,80,2264,6346
154,4005,82,2439,6526
155,4010,83,2618,6711
156,4368,85,2437,6890
157,4399,86,2582,7067
158,4600,87,2532,7219
159,4738,87,2546,7371
160,4879,87,2554,7520
161,4982,88,2596,7666
162,5102,89,2614,7805
163,5210,90,2631,7931
164,5349,91,2640,8080
165,5570,92,2562,8224
166,5599,93,2674,8366
167,5700,94,2634,8428
168,5999,94,2405,8498
169,6120,94,2327,8541
170,6350,95,2156,8601
171,6359,95,2193,8647
172,6488,96,2125,8709
173,6520,97,2145,8762
174,6544,98,2203,8845
175,6899,99,1907,8905
176,7189,100,1702,8991
177,7342,101,1611,9054
178,7342,101,1611,9054
