,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,6,6
3,0,0,6,6
4,0,0,6,6
5,0,0,6,6
6,0,0,6,6
7,0,0,6,6
8,0,0,6,6
9,0,0,6,6
10,0,0,6,6
11,0,0,6,6
12,0,0,6,6
13,0,0,6,6
14,0,0,6,6
15,0,0,6,6
16,0,0,6,6
17,0,0,6,6
18,0,0,6,6
19,0,0,6,6
20,1,0,5,6
21,1,0,5,6
22,2,0,4,6
23,3,0,3,6
24,3,0,3,6
25,4,0,2,6
26,4,0,2,6
27,5,0,1,6
28,6,0,0,6
29,6,0,1,7
30,6,0,1,7
31,6,1,1,8
32,6,1,1,8
33,6,1,1,8
34,6,1,3,10
35,6,1,3,10
36,6,1,3,10
37,6,1,3,10
38,6,1,3,10
39,6,1,4,11
40,6,1,4,11
41,7,1,3,11
42,7,1,3,11
43,7,1,3,11
44,8,1,2,11
45,10,1,0,11
46,10,1,0,11
47,10,1,2,13
48,10,1,3,14
49,10,1,6,17
50,10,1,6,17
51,10,1,9,20
52,10,1,15,26
53,10,1,15,26
54,10,1,19,30
55,10,1,28,39
56,10,1,36,47
57,10,2,39,51
58,10,2,39,51
59,10,2,40,52
60,10,2,40,52
61,15,2,36,53
62,17,2,33,52
63,17,2,37,56
64,17,2,37,56
65,20,2,40,62
66,20,2,40,62
67,21,2,39,62
68,22,2,44,68
69,33,2,32,67
70,36,2,30,68
71,36,2,35,73
72,38,2,35,75
73,38,2,35,75
74,38,2,51,91
75,42,2,66,110
76,44,2,71,117
77,44,2,80,126
78,48,2,87,137
79,49,2,97,148
80,49,2,96,147
81,49,3,95,147
82,49,3,103,155
83,53,3,101,157
84,56,3,118,177
85,103,3,75,181
86,105,4,85,194
87,120,4,79,203
88,121,5,80,206
89,133,6,68,207
90,142,7,71,220
91,145,8,77,230
92,145,9,79,233
93,149,10,85,244
94,157,10,92,259
95,160,11,131,302
96,170,11,135,316
97,174,14,136,324
98,180,14,153,347
99,182,14,203,399
100,183,15,252,450
101,183,15,283,481
102,190,15,289,494
103,215,15,289,519
104,231,16,303,550
105,252,18,320,590
106,267,19,333,619
107,275,19,363,657
108,277,19,408,704
109,285,19,439,743
110,302,20,442,764
111,328,22,480,830
112,342,26,510,878
113,379,28,526,933
114,385,28,567,980
115,411,29,609,1049
116,441,31,615,1087
117,458,35,757,1250
118,459,37,791,1287
119,468,40,880,1388
120,486,41,975,1502
121,625,47,1165,1837
122,647,48,1249,1944
123,660,52,1330,2042
124,802,57,1477,2336
125,915,62,1468,2445
126,994,67,1523,2584
127,1085,69,1569,2723
128,1103,67,1651,2821
129,1250,69,1628,2947
130,1351,72,1662,3085
131,1502,74,1720,3296
132,1670,78,1679,3427
133,1784,80,1763,3627
134,1986,84,1753,3823
135,2089,83,1842,4014
136,2271,87,1836,4194
137,2429,88,1839,4356
138,2523,92,1901,4516
139,2609,93,1989,4691
140,2734,95,2017,4846
141,2976,95,1872,4943
142,3181,96,1795,5072
143,3448,97,1674,5219
144,3555,98,1658,5311
145,3781,102,1535,5418
146,3894,100,1548,5542
147,3993,103,1545,5641
148,4134,104,1482,5720
149,4289,106,1435,5830
150,4394,109,1460,5963
151,4494,110,1465,6069
152,4648,111,1410,6169
153,4826,115,1350,6291
154,4906,115,1421,6442
155,4956,117,1464,6537
156,5116,119,1429,6664
157,5223,121,1445,6789
158,5329,121,1485,6935
159,5403,122,1558,7083
160,5513,124,1578,7215
161,5617,124,1600,7341
162,5695,126,1649,7470
163,5794,126,1693,7613
164,5904,127,1787,7818
165,5982,127,1872,7981
166,6180,127,1832,8139
167,6271,127,1906,8304
168,6383,127,1952,8462
169,6501,127,1935,8563
170,6655,128,1923,8706
171,6871,128,1832,8831
172,6971,130,1890,8991
173,7116,131,1840,9087
174,7240,132,1851,9223
175,7388,132,1835,9355
176,7553,133,1771,9457
177,7640,134,1790,9564
178,7782,134,1779,9695
179,7924,134,1745,9803
180,8030,135,1715,9880
181,8200,135,1648,9983
182,8313,135,1632,10080
183,8420,135,1652,10207
184,8514,136,1651,10301
185,8616,137,1641,10394
186,8616,137,1641,10394
