,Recovered,Deceased,Infected,I_c
0,0,0,1,1
1,0,0,1,1
2,0,0,3,3
3,0,0,3,3
4,0,0,15,15
5,2,0,17,19
6,2,0,19,21
7,11,0,17,28
8,18,0,18,36
9,18,0,25,43
10,18,0,38,56
11,19,0,52,71
12,33,0,62,95
13,33,0,71,104
14,41,0,63,104
15,42,0,73,115
16,43,0,97,140
17,43,0,97,140
18,43,0,110,153
19,43,0,128,171
20,43,0,133,176
21,87,0,92,179
22,87,0,92,179
23,88,0,92,180
24,88,0,94,182
25,120,0,63,183
26,120,0,63,183
27,138,0,52,190
28,139,0,55,194
29,139,0,58,197
30,145,0,56,201
31,158,0,60,218
32,177,0,44,221
33,177,0,46,223
34,180,0,52,232
35,180,0,57,237
36,189,0,52,241
37,189,0,53,242
38,203,1,44,248
39,205,0,43,248
40,208,0,46,254
41,210,0,49,259
42,218,0,43,261
43,228,0,39,267
44,237,0,37,274
45,238,0,38,276
46,238,0,48,286
47,245,0,52,297
48,246,0,57,303
49,256,0,48,304
50,257,0,59,316
51,259,0,65,324
52,265,0,60,325
53,272,0,62,334
54,273,0,66,339
55,283,0,73,356
56,298,0,71,369
57,298,0,80,378
58,310,0,79,389
59,320,0,78,398
60,328,0,74,402
61,334,0,91,425
62,347,0,96,443
63,360,0,128,488
64,370,0,157,527
65,380,0,178,558
66,388,0,218,606
67,393,0,272,665
68,412,0,266,678
69,434,0,298,732
70,479,0,268,747
71,517,0,262,779
72,546,0,285,831
73,594,0,254,848
74,651,0,224,875
75,663,0,243,906
76,720,0,214,934
77,728,0,235,963
78,760,0,289,1049
79,810,0,293,1103
80,828,0,364,1192
81,850,0,387,1237
82,881,0,390,1271
83,910,0,393,1303
84,930,0,413,1343
85,1010,0,394,1404
86,1061,0,449,1510
87,1136,0,443,1579
88,1193,0,450,1643
89,1219,0,483,1702
90,1264,0,505,1769
91,1317,0,549,1866
92,1371,0,600,1971
93,1469,0,604,2073
94,1542,1,592,2135
95,1569,3,659,2231
96,1636,5,636,2277
97,1706,8,621,2335
98,1777,11,606,2394
99,1908,16,547,2471
100,2016,17,534,2567
101,2081,20,548,2649
102,2168,21,563,2752
103,2218,22,610,2850
104,2311,22,615,2948
105,2375,23,683,3081
106,2458,24,691,3173
107,2561,25,694,3280
108,2675,25,710,3410
109,2739,26,716,3481
110,2836,26,712,3574
111,2951,26,699,3676
112,3100,26,642,3768
113,3196,29,639,3864
114,3262,30,701,3993
115,3341,32,709,4082
116,3458,34,701,4193
117,3541,34,725,4300
118,3621,36,752,4409
119,3729,38,736,4503
120,3820,38,732,4590
121,3949,43,746,4738
122,4037,44,786,4867
123,4100,46,804,4950
124,4199,47,803,5049
125,4306,49,750,5105
126,4395,51,732,5178
127,4497,51,703,5251
128,4629,52,666,5347
129,4761,57,634,5452
130,4848,57,628,5533
131,4848,57,628,5533
