,Recovered,Deceased,Infected,I_c
0,0,0,4,4
1,0,0,4,4
2,0,0,4,4
3,0,0,4,4
4,0,0,4,4
5,0,0,4,4
6,0,0,4,4
7,0,1,5,6
8,0,1,5,6
9,5,1,1,7
10,5,1,1,7
11,5,1,1,7
12,5,1,1,7
13,5,1,1,7
14,5,1,1,7
15,5,1,1,7
16,5,1,1,7
17,5,1,1,7
18,5,1,1,7
19,5,1,1,7
20,5,1,1,7
21,5,1,1,7
22,5,1,1,7
23,5,1,3,9
24,5,1,4,10
25,5,1,4,10
26,5,1,4,10
27,5,1,4,10
28,5,1,4,10
29,5,1,6,12
30,6,1,6,13
31,6,1,7,14
32,6,1,8,15
33,7,1,7,15
34,9,1,11,21
35,9,1,11,21
36,9,1,17,27
37,9,1,28,38
38,9,2,39,50
39,10,2,48,60
40,15,2,60,77
41,16,2,65,83
42,19,3,67,89
43,33,3,66,102
44,40,3,75,118
45,40,3,85,128
46,46,3,120,169
47,68,3,113,184
48,68,3,117,188
49,80,4,113,197
50,93,4,122,219
51,106,4,110,220
52,108,4,110,222
53,134,4,102,240
54,137,4,107,248
55,144,5,119,268
56,144,5,147,296
57,165,5,159,329
58,180,5,163,348
59,191,6,166,363
60,206,8,181,395
61,215,9,185,409
62,222,9,190,421
63,226,9,193,428
64,234,9,215,458
65,257,10,221,488
66,274,10,211,495
67,301,10,217,528
68,419,10,125,554
69,428,10,139,577
70,430,10,163,603
71,437,10,200,647
72,440,10,234,684
73,482,10,224,716
74,487,12,237,736
75,510,12,242,764
76,527,12,297,836
77,561,13,298,872
78,587,13,345,945
79,591,13,347,951
80,632,13,370,1015
81,665,14,414,1093
82,691,14,462,1167
83,735,14,488,1237
84,768,14,520,1302
85,825,14,506,1345
86,891,14,527,1432
87,894,15,558,1467
88,1009,15,508,1532
89,1078,15,528,1621
90,1123,15,544,1682
91,1224,17,564,1805
92,1259,19,599,1877
93,1346,21,572,1939
94,1390,22,589,2001
95,1444,22,578,2044
96,1514,22,630,2166
97,1555,22,658,2235
98,1673,23,689,2385
99,1748,23,765,2536
100,1821,27,741,2589
101,1884,31,733,2648
102,1918,34,798,2750
103,2035,35,763,2833
104,2049,36,824,2909
105,2112,39,826,2977
106,2304,39,767,3110
107,2411,40,699,3150
108,2470,41,721,3232
109,2490,42,805,3337
110,2584,44,811,3439
111,2681,45,781,3507
112,2764,50,766,3580
113,2876,52,755,3683
114,2952,53,752,3757
115,3026,55,757,3838
116,3153,56,798,4007
117,3240,56,845,4141
118,3307,60,878,4245
119,3388,60,859,4307
120,3483,61,872,4416
121,3557,63,876,4496
122,3649,67,882,4598
123,3795,69,829,4693
124,3905,72,789,4766
125,4009,74,767,4850
126,4110,75,756,4941
127,4245,75,736,5056
128,4351,75,689,5115
129,4450,75,677,5202
130,4542,76,650,5268
131,4630,78,671,5379
132,4730,78,667,5475
133,4821,81,668,5570
134,4929,81,670,5680
135,4987,82,702,5771
136,5068,84,676,5828
137,5166,85,663,5914
138,5248,90,679,6017
139,5328,91,694,6113
140,5446,92,692,6230
141,5568,92,719,6379
142,5631,93,774,6498
143,5700,94,808,6602
144,5776,94,826,6696
145,5880,94,840,6814
146,5972,95,842,6909
147,6099,97,812,7008
148,6227,99,810,7136
149,6338,100,783,7221
150,6411,101,798,7310
151,6502,101,789,7392
152,6613,104,757,7474
153,6715,105,725,7545
154,6824,105,698,7627
155,6939,106,661,7706
156,7025,106,674,7805
157,7134,110,640,7884
158,7134,110,640,7884
